number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size_0,params_batch_size_1,params_batch_size_2,params_batch_size_3,params_batch_size_4,params_h1,params_h2,params_iter_no_change,params_learning_rate_init,params_max_iter,params_num_hidden_layers,params_preset_idx,state
0,0.9063865524091803,2025-11-29 23:30:41.168521,2025-11-29 23:30:45.876078,0 days 00:00:04.707557,relu,,128.0,,,,9,,29,0.0066986646382351306,354,1,1,COMPLETE
1,0.8938726586209385,2025-11-29 23:30:45.877216,2025-11-29 23:30:52.818426,0 days 00:00:06.941210,tanh,,,,,100.0,5,7.0,60,0.040002872220484244,246,2,4,COMPLETE
2,0.9199616638272128,2025-11-29 23:30:52.819482,2025-11-29 23:30:57.405417,0 days 00:00:04.585935,tanh,,256.0,,,,5,10.0,53,0.04056777182125825,393,2,1,COMPLETE
3,0.9278278441479395,2025-11-29 23:30:57.406791,2025-11-29 23:31:02.033281,0 days 00:00:04.626490,relu,,,,,200.0,5,3.0,16,0.003032593555760083,407,2,4,COMPLETE
4,0.9377188907719315,2025-11-29 23:31:02.034175,2025-11-29 23:31:14.255077,0 days 00:00:12.220902,relu,,,32.0,,,8,5.0,54,0.00895199714323823,385,2,2,COMPLETE
5,0.8977200427262356,2025-11-29 23:31:14.256249,2025-11-29 23:31:15.163473,0 days 00:00:00.907224,logistic,,,,,50.0,10,7.0,47,0.02084492754094985,277,2,4,PRUNED
6,0.9449819286204695,2025-11-29 23:31:15.164378,2025-11-29 23:31:36.067873,0 days 00:00:20.903495,logistic,32.0,,,,,8,7.0,68,0.004716523722948787,445,2,0,COMPLETE
7,0.913303199344457,2025-11-29 23:31:36.069116,2025-11-29 23:31:37.953769,0 days 00:00:01.884653,relu,,64.0,,,,11,7.0,30,0.0020747095747101494,324,2,1,PRUNED
8,0.9403301280127089,2025-11-29 23:31:37.954675,2025-11-29 23:31:43.862592,0 days 00:00:05.907917,relu,,,32.0,,,9,,21,0.011366934817053058,182,1,2,COMPLETE
9,0.9266540924240341,2025-11-29 23:31:43.863390,2025-11-29 23:31:53.925578,0 days 00:00:10.062188,tanh,32.0,,,,,8,,30,0.004674671473026911,335,1,0,COMPLETE
10,0.7432884009559574,2025-11-29 23:31:53.926537,2025-11-29 23:31:59.872789,0 days 00:00:05.946252,logistic,32.0,,,,,3,,79,0.00033614992523181645,541,1,0,PRUNED
11,0.852373835017447,2025-11-29 23:31:59.873612,2025-11-29 23:32:00.389116,0 days 00:00:00.515504,logistic,,,32.0,,,7,,5,0.014964765099786307,165,1,2,PRUNED
12,0.862690259728583,2025-11-29 23:32:00.390132,2025-11-29 23:32:06.959583,0 days 00:00:06.569451,logistic,,,,10.0,,7,,19,0.001072216945372607,482,1,3,PRUNED
13,0.8937747439105469,2025-11-29 23:32:06.960478,2025-11-29 23:32:08.150339,0 days 00:00:01.189861,relu,,,16.0,,,10,,18,0.013349727316555794,165,1,2,PRUNED
14,0.9163950875966594,2025-11-29 23:32:08.151218,2025-11-29 23:32:14.475388,0 days 00:00:06.324170,logistic,16.0,,,,,9,11.0,69,0.0018002796135471164,470,2,0,PRUNED
15,0.8675662113610008,2025-11-29 23:32:14.477155,2025-11-29 23:32:20.250435,0 days 00:00:05.773280,relu,,,,20.0,,11,,35,0.00036323875570929884,234,1,3,PRUNED
16,0.9107548331424115,2025-11-29 23:32:20.251349,2025-11-29 23:32:21.702221,0 days 00:00:01.450872,logistic,,,64.0,,,6,,39,0.006658632574702328,216,1,2,PRUNED
17,0.9114477491023718,2025-11-29 23:32:21.703063,2025-11-29 23:32:27.642611,0 days 00:00:05.939548,logistic,64.0,,,,,8,9.0,67,0.0006187315829926005,572,2,0,PRUNED
18,0.8927099960519743,2025-11-29 23:32:27.644247,2025-11-29 23:32:28.150642,0 days 00:00:00.506395,relu,,,32.0,,,9,,8,0.024314922191919074,296,1,2,PRUNED
19,0.869638886858979,2025-11-29 23:32:28.152023,2025-11-29 23:32:37.234649,0 days 00:00:09.082626,tanh,32.0,,,,,3,5.0,78,0.00020281751281501552,454,2,0,PRUNED
20,0.9057156790965804,2025-11-29 23:32:37.235483,2025-11-29 23:32:40.464884,0 days 00:00:03.229401,logistic,,,16.0,,,6,9.0,24,0.004366587309407679,197,2,2,PRUNED
21,0.9293601439066259,2025-11-29 23:32:40.465897,2025-11-29 23:32:51.047598,0 days 00:00:10.581701,relu,,,32.0,,,8,5.0,44,0.008794786226304096,395,2,2,COMPLETE
22,0.9305313125859038,2025-11-29 23:32:51.051189,2025-11-29 23:33:04.148432,0 days 00:00:13.097243,relu,,,32.0,,,8,5.0,51,0.009770416268014746,435,2,2,COMPLETE
23,0.9163109887799165,2025-11-29 23:33:04.149410,2025-11-29 23:33:07.359172,0 days 00:00:03.209762,relu,,,32.0,,,10,3.0,42,0.00681039614920441,366,2,2,PRUNED
24,0.9177290831138173,2025-11-29 23:33:07.360790,2025-11-29 23:33:08.761389,0 days 00:00:01.400599,relu,,,,40.0,,9,6.0,23,0.002755440356055832,421,2,3,PRUNED
25,0.9329769070277864,2025-11-29 23:33:08.762212,2025-11-29 23:33:18.034489,0 days 00:00:09.272277,relu,16.0,,,,,7,8.0,57,0.0032224855452387432,518,2,0,PRUNED
26,0.9315008249691044,2025-11-29 23:33:18.035752,2025-11-29 23:33:19.004319,0 days 00:00:00.968567,relu,,,64.0,,,7,,12,0.012112979979997024,371,1,2,PRUNED
27,0.9268563343930599,2025-11-29 23:33:19.005373,2025-11-29 23:33:21.071576,0 days 00:00:02.066203,relu,,,32.0,,,6,4.0,36,0.018443012845845527,298,2,2,PRUNED
28,0.9329268070735658,2025-11-29 23:33:21.072443,2025-11-29 23:33:39.431340,0 days 00:00:18.358897,tanh,64.0,,,,,10,,66,0.0012008781611552064,500,1,0,COMPLETE
29,0.9304359163372201,2025-11-29 23:33:39.432197,2025-11-29 23:33:40.660491,0 days 00:00:01.228294,logistic,,128.0,,,,9,6.0,73,0.007228432532857883,448,2,1,PRUNED
30,0.9283149169791562,2025-11-29 23:33:40.661379,2025-11-29 23:33:45.781389,0 days 00:00:05.120010,relu,,,,10.0,,8,,26,0.003389272200951898,349,1,3,PRUNED
31,0.9302632665332558,2025-11-29 23:33:45.782908,2025-11-29 23:33:50.401891,0 days 00:00:04.618983,tanh,64.0,,,,,10,,62,0.0010132215429633853,492,1,0,PRUNED
32,0.9283428738556523,2025-11-29 23:33:50.404252,2025-11-29 23:33:53.706228,0 days 00:00:03.301976,tanh,64.0,,,,,9,,63,0.0013066559640841978,590,1,0,PRUNED
33,0.9003611708470232,2025-11-29 23:33:53.707158,2025-11-29 23:33:57.888426,0 days 00:00:04.181268,tanh,32.0,,,,,11,,56,0.0007369143403356124,511,1,0,PRUNED
34,0.9239261935810993,2025-11-29 23:33:57.890864,2025-11-29 23:33:59.793956,0 days 00:00:01.903092,tanh,,,,,200.0,10,,51,0.005429655988469945,545,1,4,PRUNED
35,0.925624466406087,2025-11-29 23:33:59.794802,2025-11-29 23:34:01.556715,0 days 00:00:01.761913,tanh,,64.0,,,,9,,67,0.031145150112511313,413,1,1,PRUNED
36,0.9227823279157052,2025-11-29 23:34:01.557611,2025-11-29 23:34:08.668059,0 days 00:00:07.110448,tanh,,,,,50.0,8,8.0,55,0.011407251626728239,505,2,4,COMPLETE
37,0.9303661754522558,2025-11-29 23:34:08.669000,2025-11-29 23:34:10.799118,0 days 00:00:02.130118,relu,64.0,,,,,10,6.0,72,0.0024796338676436724,261,2,0,PRUNED
38,0.9209119969544701,2025-11-29 23:34:10.801713,2025-11-29 23:34:12.328311,0 days 00:00:01.526598,tanh,,256.0,,,,11,,60,0.0084836998777802,387,1,1,PRUNED
39,0.8995249899845136,2025-11-29 23:34:12.330282,2025-11-29 23:34:18.021044,0 days 00:00:05.690762,logistic,32.0,,,,,4,4.0,47,0.003951757057518147,539,2,0,PRUNED
40,0.9288892394115731,2025-11-29 23:34:18.021937,2025-11-29 23:34:22.496482,0 days 00:00:04.474545,relu,,,,,100.0,7,,52,0.01663654038050751,323,1,4,COMPLETE
41,0.9354406334824,2025-11-29 23:34:22.497439,2025-11-29 23:34:34.879521,0 days 00:00:12.382082,relu,,,32.0,,,8,5.0,47,0.00956511027905361,435,2,2,COMPLETE
42,0.8992877141812218,2025-11-29 23:34:34.880404,2025-11-29 23:34:36.900845,0 days 00:00:02.020441,relu,,,32.0,,,8,4.0,49,0.005481197637254737,431,2,2,PRUNED
